frequent_itemsets_count,min_support,min_confidence,rules_count,max_lift,avg_lift,runtime_ms
326,0.01,0.25,283,1.5972222222222223,1.1642197497557816,67.31910500002414
326,0.01,0.3,88,1.5972222222222223,1.3148619153805023,59.611067000332696
326,0.01,0.35,19,1.5972222222222223,1.4408822728603725,56.381620000138355
326,0.01,0.4,3,1.5495867768595042,1.5343400525778625,53.10786000063672
114,0.02,0.25,86,1.5972222222222223,1.1772142501045442,30.682495999826642
114,0.02,0.3,30,1.5972222222222223,1.3431217881852242,30.257456999606802
114,0.02,0.35,12,1.5972222222222223,1.4484404779735722,31.604167000296002
114,0.02,0.4,2,1.5488594762038863,1.5267166904370417,29.228534000139916
99,0.03,0.25,45,1.4386563618722608,1.1068836540026916,29.094172000441176
99,0.03,0.3,5,1.4386563618722608,1.3146600796553944,28.821740000239515
99,0.03,0.35,1,1.4386563618722608,1.4386563618722608,28.613819999918633
99,0.03,0.4,0,0.0,0.0,28.7556860002951
88,0.05,0.25,45,1.4386563618722608,1.1068836540026916,24.554044000069553
88,0.05,0.3,5,1.4386563618722608,1.3146600796553944,23.11055199970724
88,0.05,0.35,1,1.4386563618722608,1.4386563618722608,23.08687699951406
88,0.05,0.4,0,0.0,0.0,24.279236999973364
